step,displacement_mm,load_factor,load_n,normalized_residual,normalized_arc_constraint_error,iterations,accepted_step_size,rejected_attempts,minimum_tangent_eigenvalue,predictor_load_increment,predictor_orientation,predictor_root_sign
1,0.5353044081436595,0.8446592156747539,844.6592156747539,8.398722872113304e-14,2.3239188351453777e-12,3,1.0,0,1571.7984023155093,0.8455926411962902,,1
2,1.0735838038249734,1.6874256674200887,1687.4256674200888,2.0966460675598884e-13,2.462252624013672e-12,3,1.0,0,1559.5406784453623,0.8437187033774997,0.9999984607973027,1
3,1.614874785264858,2.5282610100493437,2528.261010049344,1.0809926538297994e-13,2.609912286288818e-12,3,1.0,0,1547.2414264609056,0.8418069238276884,0.9999984156170154,1
4,2.159214520591489,3.367125869575179,3367.125869575179,9.75097457171743e-14,2.766453732760965e-12,3,1.0,0,1534.9003052129679,0.8398562896427082,0.9999983688152294,1
5,2.7066407542147486,4.203979810680786,4203.979810680786,1.7307308650002872e-14,2.9340974094793637e-12,3,1.0,0,1522.5169721402335,0.83786575592373,0.9999983203253746,1
6,3.257191812943666,5.038781303094151,5038.781303094151,8.772248654455722e-14,3.113065361048939e-12,3,1.0,0,1510.0910834362169,0.8358342446997296,0.9999982700779333,1
7,3.8109066118017783,5.87148768683864,5871.48768683864,5.91718819160637e-14,3.304689855099241e-12,3,1.0,0,1497.6222942304878,0.8337606438174323,0.999998218000318,1
8,4.367824659506615,6.702055136323715,6702.055136323715,7.938675372178621e-14,3.5085268024204197e-12,3,1.0,0,1485.110258785189,0.8316438057984783,0.9999981640167281,1
9,4.927986063574362,7.530438623240599,7530.438623240599,1.2198355165603325e-14,3.725464381432175e-12,3,1.0,0,1472.5546307074603,0.8294825466636527,0.999998108048014,1
10,5.491431534992587,8.35659187823767,8356.591878237668,8.402108419308311e-14,3.959055305813308e-12,3,1.0,0,1459.9550631792595,0.8272756447240559,0.9999980500115423,1
11,6.0582023924253345,9.180467351333668,9180.467351333667,2.357829190368084e-14,4.208189352539193e-12,3,1.0,0,1447.3112092054378,0.8250218393393656,0.9999979898210323,1
12,6.6283405658909365,10.002016171040557,10002.016171040557,3.910038886906468e-14,4.475086967659081e-12,3,1.0,0,1434.6227218811143,0.8227198296433679,0.9999979273864135,1
13,7.20188859985129,10.821188102166724,10821.188102166725,9.74951959152564e-15,4.760636329592671e-12,3,1.0,0,1421.8892546800842,0.8203682732371333,0.9999978626136713,1
14,7.778889655660354,11.637931502262674,11637.931502262674,5.1265856329109034e-14,5.0675019735990645e-12,3,1.0,0,1409.1104617650133,0.8179657848505172,0.9999977954046728,1
15,8.359387513297902,12.452193276683904,12452.193276683904,1.8259729060660624e-14,5.39213118599946e-12,3,1.0,0,1396.285998321072,0.8155109349726972,0.9999977256570158,1
16,8.943426572320178,13.263918832239547,13263.918832239548,1.4399506645659e-14,5.74296166178101e-12,3,1.0,0,1383.4155209146159,0.8130022484528613,0.9999976532638504,1
17,9.531051851949124,14.073052029400015,14073.052029400016,2.946976840148417e-14,6.119327267128938e-12,3,1.0,0,1370.498687878089,0.8104382030724162,0.9999975781137183,1
18,10.122308990217793,14.879535133037571,14879.53513303757,2.065986648445071e-14,6.519007555993994e-12,3,1.0,0,1357.535159723198,0.8078172280903104,0.9999975000903669,1
19,10.71724424208499,15.683308761674805,15683.308761674805,1.6585497911174197e-14,6.951550446387955e-12,3,1.0,0,1344.5245995836572,0.805137702763566,0.9999974190725767,1
20,11.315904476420377,16.484311835222538,16484.31183522254,3.023499564638248e-14,7.41562367068127e-12,3,1.0,0,1331.4666736897148,0.8023979548453456,0.9999973349339937,1
21,11.918337171760768,17.282481521187133,17282.481521187132,7.999036162718145e-15,7.909672916639465e-12,3,1.0,0,1318.3610518760845,0.7995962590634915,0.9999972475429377,1
22,12.52459041072755,18.07775317933341,18077.75317933341,3.803448292049793e-14,8.441469745434915e-12,3,1.0,0,1305.2074081253759,0.796730835582815,0.99999715676223,1
23,13.134712872988432,18.87006030479281,18870.06030479281,8.675597410652959e-15,9.017009361400596e-12,3,1.0,0,1292.0054211491279,0.7937998484550474,0.9999970624490266,1
24,13.748753826635578,19.65933446961371,19659.33446961371,1.5729331991413628e-14,9.630074515598608e-12,3,1.0,0,1278.7547750086806,0.7908014040609388,0.9999969644546403,1
25,14.366763117849308,20.445505262745524,20445.505262745522,3.665468887317958e-14,0.0,4,1.0,0,1265.4551597782172,0.7877335495496719,0.9999968626243614,1
26,14.988791158715447,21.228500228486833,21228.500228486835,1.1139205309645033e-14,1.7763568394002505e-15,4,1.0,0,1252.1062722519412,0.7845942712814892,0.999996756792177,1
27,15.614888913014534,22.008244803371223,22008.244803371224,8.099735491863845e-15,2.3314683517128287e-15,4,1.0,0,1238.7078166988103,0.7813814932801355,0.9999966468008291,1
28,16.245107879853222,22.784662251550213,22784.662251550213,2.650486872747636e-14,2.6645352591003757e-15,4,1.0,0,1225.2595056666623,0.7780930757029206,0.9999965324718367,1
29,16.879500074952823,23.55767359868343,23557.67359868343,8.493573592989458e-15,0.0,4,1.0,0,1211.76106083865,0.7747268133367988,0.9999964136249523,1
